Date,CustomerID,ProductType,ServiceType,Quantity,UnitPrice,Region,SalesRep,InstallationRequired,PaymentMethod,TotalRevenue,InstallationDate
2024-01-04,4628,Solar Panel 500W,Installation,6,108965,Ibadan,Grace,No,Cash,653790,
2024-10-29,2565,Battery 200Ah,Maintenance,6,346303,Ibadan,Ada,No,POS,2077818,
2024-10-20,4667,Solar Panel 300W,Product Purchase,8,101914,Lagos,Michael,No,Cash,815312,
2024-05-22,7459,Inverter 3.5kVA,Product Purchase,9,267840,Kano,Grace,Yes,Transfer,2410560,2024-05-28
2024-07-09,5096,Charge Controller,Installation,8,210548,Kano,Michael,No,Cash,1684384,
2024-01-21,2019,Solar Panel 500W,Product Purchase,1,340920,Port Harcourt,Grace,Yes,Online Gateway,340920,2024-01-23
2024-08-14,8928,Inverter 3.5kVA,Repair,2,24294,Lagos,Michael,Yes,Cash,48588,2024-08-27
2024-11-08,9254,Charge Controller,Product Purchase,6,15750,Lagos,Ada,Yes,POS,94500,2024-11-17
2024-04-26,6965,Solar Panel 300W,Product Purchase,8,170195,Enugu,Michael,No,Transfer,1361560,
2024-10-28,3269,Solar Panel 300W,Product Purchase,4,123863,Lagos,Michael,No,Cash,495452,
2024-05-21,9835,Solar Panel 500W,Repair,4,396245,Port Harcourt,Ada,Yes,Cash,1584980,2024-05-27
2024-02-08,5721,Charge Controller,Maintenance,2,405534,Abuja,Tunde,No,Online Gateway,811068,
2024-12-20,9408,Battery 200Ah,Site Inspection,1,57732,Kano,Grace,Yes,Online Gateway,57732,2024-12-30
2024-09-08,1195,Solar Panel 300W,Product Purchase,9,240867,Port Harcourt,John,No,Cash,2167803,
2024-11-28,4273,Accessories,Installation,7,258505,Port Harcourt,Michael,No,Online Gateway,1809535,
2024-07-25,6110,Battery 200Ah,Installation,9,328382,Enugu,Grace,No,Cash,2955438,
2024-07-28,8401,Battery 200Ah,Repair,2,190302,Port Harcourt,Ada,Yes,POS,380604,2024-08-06
2024-04-24,4212,Inverter 3.5kVA,Maintenance,5,325190,Enugu,John,No,Cash,1625950,
2024-08-12,3755,Inverter 3.5kVA,Product Purchase,2,158464,Enugu,John,No,POS,316928,
2024-05-13,2521,Solar Panel 300W,Repair,7,133553,Lagos,Grace,Yes,Transfer,934871,2024-05-24
2024-09-07,6674,Battery 200Ah,Site Inspection,9,187538,Port Harcourt,Stella,No,POS,1687842,
2024-08-06,2080,Inverter 3.5kVA,Maintenance,3,404689,Abuja,John,Yes,Transfer,1214067,2024-08-17
2024-03-31,6623,Charge Controller,Maintenance,1,375776,Ibadan,Michael,Yes,Transfer,375776,2024-04-01
2024-12-19,1721,Charge Controller,Repair,4,401738,Port Harcourt,Tunde,Yes,Transfer,1606952,2025-01-02
2024-02-15,2562,Charge Controller,Installation,4,339567,Enugu,Grace,No,Online Gateway,1358268,
2024-02-07,1639,Charge Controller,Maintenance,6,357323,Abuja,Michael,No,Cash,2143938,
2024-05-21,5260,Battery 200Ah,Installation,5,203637,Enugu,Stella,No,POS,1018185,
2024-04-09,6190,Charge Controller,Maintenance,5,30386,Lagos,John,No,Transfer,151930,
2024-11-23,4736,Battery 200Ah,Maintenance,9,267576,Ibadan,Grace,Yes,POS,2408184,2024-11-25
2024-07-08,8746,Solar Panel 300W,Maintenance,1,305966,Kano,Stella,No,Transfer,305966,
2024-02-04,1089,Solar Panel 300W,Site Inspection,8,119620,Kano,Michael,No,Online Gateway,956960,
2024-05-26,2251,Charge Controller,Installation,8,289275,Lagos,Michael,Yes,Transfer,2314200,2024-06-08
2024-01-30,5703,Charge Controller,Site Inspection,8,204394,Lagos,Michael,Yes,Transfer,1635152,2024-02-12
2024-11-29,1348,Charge Controller,Installation,3,444077,Kano,Tunde,Yes,Cash,1332231,2024-12-07
2024-03-24,5052,Solar Panel 300W,Site Inspection,8,218561,Lagos,Michael,Yes,POS,1748488,2024-04-01
2024-10-07,3941,Inverter 3.5kVA,Site Inspection,2,97540,Kano,Michael,Yes,Cash,195080,2024-10-18
2024-12-09,9437,Solar Panel 300W,Site Inspection,8,198689,Lagos,John,No,Online Gateway,1589512,
2024-09-26,1271,Charge Controller,Repair,8,185030,Kano,Grace,No,POS,1480240,
2024-06-02,3030,Inverter 3.5kVA,Site Inspection,3,397076,Abuja,Grace,No,Online Gateway,1191228,
2024-04-11,8836,Inverter 3.5kVA,Maintenance,4,200638,Lagos,Grace,Yes,Transfer,802552,2024-04-23
2024-08-02,8041,Solar Panel 500W,Product Purchase,9,57797,Kano,Tunde,No,Online Gateway,520173,
2024-05-29,6175,Battery 200Ah,Site Inspection,9,347615,Lagos,Grace,No,POS,3128535,
2024-03-23,2126,Charge Controller,Product Purchase,9,373194,Kano,John,No,POS,3358746,
2024-04-19,5379,Battery 200Ah,Product Purchase,6,221360,Kano,Stella,No,POS,1328160,
2024-10-01,9708,Solar Panel 500W,Maintenance,1,274665,Enugu,Ada,No,Cash,274665,
2024-07-19,9052,Battery 200Ah,Product Purchase,8,185553,Enugu,Grace,Yes,Transfer,1484424,2024-07-21
2024-10-10,1611,Charge Controller,Product Purchase,9,430674,Ibadan,John,Yes,POS,3876066,2024-10-24
2024-06-21,1749,Solar Panel 500W,Product Purchase,8,431281,Lagos,Grace,Yes,Online Gateway,3450248,2024-06-26
2024-11-22,2856,Battery 200Ah,Installation,1,266176,Abuja,Tunde,No,Online Gateway,266176,
2024-07-24,9591,Solar Panel 300W,Site Inspection,6,257260,Port Harcourt,John,No,Online Gateway,1543560,
2024-03-03,2526,Inverter 3.5kVA,Site Inspection,9,371373,Port Harcourt,Ada,No,POS,3342357,
2024-03-13,7229,Solar Panel 500W,Product Purchase,9,43897,Enugu,John,No,POS,395073,
2024-09-07,9511,Solar Panel 300W,Maintenance,7,76988,Lagos,Grace,No,Online Gateway,538916,
2024-05-03,9527,Charge Controller,Installation,7,166925,Enugu,Grace,No,Online Gateway,1168475,
2024-04-30,3098,Inverter 3.5kVA,Maintenance,4,136444,Kano,Ada,Yes,Transfer,545776,2024-05-07
2024-10-01,8865,Solar Panel 500W,Maintenance,7,144677,Kano,Tunde,Yes,POS,1012739,2024-10-05
2024-04-29,1173,Inverter 3.5kVA,Product Purchase,5,310939,Abuja,John,No,Online Gateway,1554695,
2024-11-12,1500,Accessories,Repair,5,139865,Lagos,Tunde,Yes,POS,699325,2024-11-18
2024-06-12,4646,Accessories,Product Purchase,1,336214,Port Harcourt,Tunde,Yes,Transfer,336214,2024-06-15
2024-10-12,7219,Solar Panel 500W,Repair,2,89560,Abuja,Stella,No,Cash,179120,
2024-09-21,3363,Solar Panel 500W,Installation,9,354265,Lagos,Stella,Yes,POS,3188385,2024-10-01
2024-11-15,8540,Battery 200Ah,Repair,2,356772,Lagos,John,Yes,POS,713544,2024-11-22
2024-06-09,2896,Inverter 3.5kVA,Product Purchase,2,206002,Enugu,John,No,Transfer,412004,
2024-11-03,6759,Accessories,Product Purchase,9,405736,Enugu,Grace,No,POS,3651624,
2024-03-29,2778,Accessories,Maintenance,3,284944,Lagos,Grace,Yes,Online Gateway,854832,2024-04-01
2024-05-21,4057,Inverter 3.5kVA,Product Purchase,2,163844,Ibadan,Tunde,No,Transfer,327688,
2024-07-21,6190,Accessories,Product Purchase,7,65064,Abuja,Stella,No,Cash,455448,
2024-11-04,7997,Solar Panel 300W,Site Inspection,9,333935,Lagos,John,No,Transfer,3005415,
2024-08-14,5747,Accessories,Site Inspection,6,88208,Enugu,John,No,Online Gateway,529248,
2024-11-29,1045,Accessories,Maintenance,7,315344,Abuja,John,Yes,POS,2207408,2024-12-09
2024-08-09,8758,Charge Controller,Repair,3,319373,Port Harcourt,Stella,Yes,Transfer,958119,2024-08-11
2024-02-10,8053,Solar Panel 300W,Repair,3,327053,Lagos,John,Yes,Online Gateway,981159,2024-02-19
2024-07-14,4201,Battery 200Ah,Site Inspection,8,237972,Kano,Tunde,Yes,Online Gateway,1903776,2024-07-17
2024-03-08,1455,Solar Panel 500W,Installation,7,219651,Lagos,John,No,Online Gateway,1537557,
2024-09-20,3924,Accessories,Site Inspection,5,216800,Lagos,Michael,No,Transfer,1084000,
2024-01-02,8798,Battery 200Ah,Installation,6,99753,Abuja,Grace,Yes,Transfer,598518,2024-01-14
2024-12-26,1965,Battery 200Ah,Repair,9,143863,Abuja,Ada,Yes,Transfer,1294767,2025-01-08
2024-05-04,5964,Solar Panel 300W,Site Inspection,3,66239,Enugu,Tunde,No,Cash,198717,
2024-04-19,2528,Solar Panel 500W,Product Purchase,3,79567,Ibadan,John,No,Online Gateway,238701,
2024-03-26,3976,Charge Controller,Installation,6,251404,Lagos,Michael,Yes,Transfer,1508424,2024-04-05
2024-04-29,4071,Battery 200Ah,Installation,8,107904,Enugu,Stella,No,Transfer,863232,
2024-05-06,5869,Charge Controller,Installation,5,60621,Port Harcourt,Tunde,No,POS,303105,
2024-09-11,7387,Solar Panel 500W,Repair,1,362307,Abuja,Tunde,No,POS,362307,
2024-07-01,3521,Solar Panel 500W,Maintenance,3,60357,Ibadan,John,No,Transfer,181071,
2024-01-16,7525,Solar Panel 300W,Product Purchase,8,311636,Kano,Stella,Yes,Transfer,2493088,2024-01-30
2024-03-02,2126,Inverter 3.5kVA,Site Inspection,4,210521,Kano,John,Yes,Cash,842084,2024-03-08
2024-06-06,7632,Accessories,Installation,9,286269,Ibadan,Michael,Yes,POS,2576421,2024-06-20
2024-09-24,6773,Solar Panel 300W,Repair,6,441538,Enugu,Ada,Yes,Cash,2649228,2024-09-25
2024-02-04,8716,Charge Controller,Installation,4,170651,Kano,Grace,No,Transfer,682604,
2024-09-23,4404,Solar Panel 300W,Site Inspection,4,311196,Lagos,Grace,No,Cash,1244784,
2024-03-04,5492,Solar Panel 500W,Product Purchase,5,420476,Abuja,Stella,No,Online Gateway,2102380,
2024-02-19,3343,Battery 200Ah,Installation,7,101896,Port Harcourt,Ada,Yes,Cash,713272,2024-03-02
2024-09-11,1106,Accessories,Repair,7,358609,Kano,Michael,Yes,POS,2510263,2024-09-16
2024-05-28,4154,Accessories,Repair,7,256188,Lagos,Tunde,No,POS,1793316,
2024-11-20,5053,Inverter 3.5kVA,Maintenance,5,44081,Enugu,Michael,No,POS,220405,
2024-10-30,5801,Solar Panel 500W,Repair,9,127362,Abuja,Grace,Yes,POS,1146258,2024-11-04
2024-10-02,7139,Accessories,Maintenance,2,242592,Lagos,Ada,Yes,Transfer,485184,2024-10-11
2024-12-22,6580,Accessories,Product Purchase,8,21158,Lagos,Stella,Yes,POS,169264,2025-01-02
2024-06-20,1214,Battery 200Ah,Site Inspection,8,301807,Enugu,John,No,Transfer,2414456,
2024-07-19,6400,Charge Controller,Maintenance,3,332399,Abuja,Ada,Yes,Online Gateway,997197,2024-07-27
2024-11-19,7875,Charge Controller,Installation,5,158458,Kano,Stella,No,POS,792290,
2024-02-04,5289,Charge Controller,Installation,8,429703,Kano,Ada,Yes,Online Gateway,3437624,2024-02-06
2024-08-03,5253,Solar Panel 300W,Site Inspection,9,277360,Lagos,Grace,Yes,Online Gateway,2496240,2024-08-08
2024-03-05,9656,Charge Controller,Repair,7,382001,Ibadan,Tunde,Yes,Transfer,2674007,2024-03-18
2024-01-08,7247,Charge Controller,Installation,4,318294,Kano,Grace,Yes,Cash,1273176,2024-01-11
2024-10-27,7177,Solar Panel 300W,Maintenance,4,44910,Lagos,Tunde,Yes,POS,179640,2024-11-10
2024-12-08,8269,Battery 200Ah,Site Inspection,3,262493,Enugu,John,No,POS,787479,
2024-11-27,3372,Solar Panel 500W,Installation,8,442189,Port Harcourt,Tunde,No,Cash,3537512,
2024-03-16,7834,Accessories,Repair,6,181482,Port Harcourt,Michael,Yes,POS,1088892,2024-03-24
2024-06-22,9783,Inverter 3.5kVA,Repair,6,255798,Ibadan,Grace,Yes,Transfer,1534788,2024-06-27
2024-02-16,7617,Accessories,Installation,9,299901,Enugu,Grace,No,Cash,2699109,
2024-01-15,6150,Charge Controller,Site Inspection,3,206722,Lagos,Grace,No,POS,620166,
2024-12-26,9102,Charge Controller,Product Purchase,4,304567,Port Harcourt,John,No,POS,1218268,
2024-05-26,5158,Accessories,Installation,3,403481,Enugu,Grace,No,Transfer,1210443,
2024-01-26,8727,Accessories,Repair,3,116659,Kano,Ada,Yes,POS,349977,2024-02-08
2024-11-03,6206,Charge Controller,Product Purchase,1,43742,Lagos,Grace,No,Transfer,43742,
2024-04-02,1303,Solar Panel 300W,Site Inspection,6,260239,Ibadan,Michael,No,Online Gateway,1561434,
2024-08-19,1333,Solar Panel 300W,Repair,9,388974,Ibadan,Stella,Yes,POS,3500766,2024-08-31
2024-01-21,5506,Solar Panel 300W,Site Inspection,5,178939,Kano,Ada,No,Cash,894695,
2024-11-02,3331,Inverter 3.5kVA,Installation,2,294127,Port Harcourt,Grace,Yes,Transfer,588254,2024-11-07
2024-02-07,5561,Solar Panel 500W,Site Inspection,4,302579,Enugu,Grace,No,Transfer,1210316,
2024-10-02,1079,Charge Controller,Repair,6,299312,Port Harcourt,Grace,No,POS,1795872,
2024-06-05,4763,Battery 200Ah,Installation,7,349118,Ibadan,Tunde,No,Transfer,2443826,
2024-06-27,6196,Accessories,Repair,7,390984,Abuja,Ada,No,Online Gateway,2736888,
2024-05-11,1732,Accessories,Repair,4,128795,Enugu,Tunde,Yes,Transfer,515180,2024-05-14
2024-11-06,4976,Charge Controller,Product Purchase,5,321995,Enugu,Michael,No,Online Gateway,1609975,
2024-12-13,6659,Charge Controller,Maintenance,4,304401,Enugu,Grace,No,Cash,1217604,
2024-01-28,2384,Charge Controller,Site Inspection,6,96475,Ibadan,Michael,Yes,Transfer,578850,2024-02-11
2024-09-16,3124,Accessories,Site Inspection,7,169636,Enugu,Michael,Yes,Cash,1187452,2024-09-30
2024-03-16,7652,Charge Controller,Product Purchase,2,58200,Ibadan,Grace,No,Online Gateway,116400,
2024-03-07,6283,Accessories,Site Inspection,3,448726,Lagos,John,No,Transfer,1346178,
2024-12-07,8176,Solar Panel 500W,Product Purchase,8,138873,Kano,Tunde,Yes,Online Gateway,1110984,2024-12-09
2024-07-12,7605,Battery 200Ah,Site Inspection,7,51678,Lagos,Ada,No,Online Gateway,361746,
2024-06-10,6707,Solar Panel 300W,Site Inspection,1,288917,Ibadan,Grace,No,Cash,288917,
2024-12-12,3292,Battery 200Ah,Repair,4,159406,Lagos,Ada,Yes,Cash,637624,2024-12-16
2024-12-26,9376,Charge Controller,Product Purchase,5,43701,Port Harcourt,Ada,Yes,Cash,218505,2025-01-09
2024-09-13,1997,Battery 200Ah,Site Inspection,3,364884,Ibadan,John,No,Online Gateway,1094652,
2024-03-12,5664,Charge Controller,Maintenance,4,94468,Port Harcourt,John,No,Online Gateway,377872,
2024-03-27,3357,Battery 200Ah,Product Purchase,7,63528,Port Harcourt,Tunde,Yes,Cash,444696,2024-03-30
2024-09-18,6491,Inverter 3.5kVA,Product Purchase,8,16376,Kano,John,No,Online Gateway,131008,
2024-08-01,2679,Battery 200Ah,Product Purchase,9,236755,Port Harcourt,Grace,Yes,Cash,2130795,2024-08-05
2024-06-01,6715,Solar Panel 300W,Repair,2,336701,Lagos,Michael,Yes,POS,673402,2024-06-10
2024-07-28,5886,Solar Panel 300W,Product Purchase,4,139395,Lagos,Ada,Yes,Transfer,557580,2024-08-05
2024-03-01,8440,Battery 200Ah,Repair,1,420132,Enugu,Michael,No,POS,420132,
2024-09-24,7821,Accessories,Maintenance,3,232651,Abuja,John,Yes,Online Gateway,697953,2024-09-26
2024-09-18,4527,Accessories,Installation,8,383819,Kano,Ada,Yes,Transfer,3070552,2024-09-22
2024-08-05,7813,Accessories,Repair,7,242871,Enugu,Stella,No,Online Gateway,1700097,
2024-10-09,3745,Battery 200Ah,Site Inspection,8,81261,Enugu,Michael,Yes,Online Gateway,650088,2024-10-11
2024-05-15,5090,Accessories,Product Purchase,6,208288,Enugu,Stella,Yes,Transfer,1249728,2024-05-20
2024-12-27,7158,Solar Panel 500W,Installation,5,348949,Abuja,Tunde,Yes,Online Gateway,1744745,2024-12-29
2024-04-02,9561,Battery 200Ah,Repair,9,195305,Port Harcourt,Grace,Yes,Online Gateway,1757745,2024-04-09
2024-04-18,8471,Solar Panel 300W,Site Inspection,5,206527,Enugu,Michael,Yes,Online Gateway,1032635,2024-04-22
2024-08-28,4743,Accessories,Installation,9,332031,Ibadan,Ada,No,Cash,2988279,
2024-12-20,8008,Inverter 3.5kVA,Maintenance,4,243570,Lagos,Ada,Yes,Online Gateway,974280,2025-01-02
2024-05-21,4324,Accessories,Repair,5,190050,Ibadan,Grace,Yes,Transfer,950250,2024-05-24
2024-10-17,9632,Solar Panel 300W,Repair,1,360269,Abuja,Stella,No,POS,360269,
2024-08-24,4257,Solar Panel 500W,Maintenance,6,109079,Enugu,Ada,No,Transfer,654474,
2024-12-05,1226,Battery 200Ah,Repair,3,309555,Abuja,Grace,Yes,Transfer,928665,2024-12-12
2024-11-07,3401,Accessories,Product Purchase,2,241993,Lagos,Michael,Yes,POS,483986,2024-11-12
2024-06-25,5718,Inverter 3.5kVA,Repair,6,152745,Enugu,John,Yes,Online Gateway,916470,2024-06-29
2024-05-20,2024,Solar Panel 300W,Product Purchase,1,299300,Abuja,John,No,POS,299300,
2024-07-07,6672,Inverter 3.5kVA,Repair,9,44856,Ibadan,Grace,No,POS,403704,
2024-02-18,8727,Charge Controller,Site Inspection,5,356902,Abuja,Ada,Yes,Cash,1784510,2024-02-24
2024-10-28,6280,Solar Panel 300W,Site Inspection,7,141677,Ibadan,Tunde,No,Cash,991739,
2024-07-08,1870,Charge Controller,Installation,9,316054,Enugu,Michael,No,Transfer,2844486,
2024-05-15,4199,Inverter 3.5kVA,Site Inspection,9,312893,Port Harcourt,Tunde,Yes,Transfer,2816037,2024-05-17
2024-02-12,2745,Battery 200Ah,Maintenance,7,43421,Enugu,Stella,No,Cash,303947,
2024-12-18,6270,Battery 200Ah,Installation,4,378894,Kano,Grace,Yes,POS,1515576,2024-12-23
2024-03-30,9635,Battery 200Ah,Site Inspection,4,168312,Lagos,Ada,No,POS,673248,
2024-10-21,6886,Charge Controller,Product Purchase,7,197605,Abuja,Grace,Yes,POS,1383235,2024-10-29
2024-12-06,6590,Battery 200Ah,Repair,8,88775,Enugu,Stella,No,Online Gateway,710200,
2024-09-01,8897,Solar Panel 500W,Site Inspection,7,390918,Lagos,Tunde,No,Cash,2736426,
2024-07-10,9664,Solar Panel 300W,Product Purchase,4,412224,Abuja,Michael,No,Online Gateway,1648896,
2024-11-13,9271,Solar Panel 300W,Installation,4,302182,Port Harcourt,Tunde,No,POS,1208728,
2024-04-15,6158,Inverter 3.5kVA,Repair,8,413409,Ibadan,John,Yes,Online Gateway,3307272,2024-04-18
2024-12-28,9431,Accessories,Site Inspection,9,219342,Lagos,Tunde,Yes,Transfer,1974078,2025-01-02
2024-11-05,1589,Charge Controller,Installation,7,389785,Port Harcourt,Tunde,Yes,Cash,2728495,2024-11-13
2024-08-20,2884,Solar Panel 300W,Site Inspection,3,301449,Port Harcourt,Tunde,No,POS,904347,
2024-09-21,6399,Charge Controller,Installation,1,336907,Kano,Tunde,Yes,Transfer,336907,2024-10-05
2024-12-09,9503,Inverter 3.5kVA,Site Inspection,5,262553,Port Harcourt,Michael,No,Online Gateway,1312765,
2024-02-06,2076,Battery 200Ah,Product Purchase,6,373219,Kano,Ada,Yes,Transfer,2239314,2024-02-10
2024-10-31,8235,Accessories,Maintenance,9,56993,Port Harcourt,Michael,Yes,POS,512937,2024-11-05
2024-02-10,7837,Inverter 3.5kVA,Product Purchase,5,404542,Ibadan,Grace,No,Cash,2022710,
2024-01-17,1033,Solar Panel 500W,Repair,1,55193,Port Harcourt,Stella,Yes,Cash,55193,2024-01-25
2024-12-09,2841,Battery 200Ah,Site Inspection,4,315664,Enugu,John,Yes,POS,1262656,2024-12-11
2024-10-03,5481,Battery 200Ah,Maintenance,2,431576,Ibadan,Ada,No,Cash,863152,
2024-11-02,9440,Battery 200Ah,Maintenance,4,271961,Abuja,Grace,Yes,Transfer,1087844,2024-11-16
2024-02-28,2134,Inverter 3.5kVA,Repair,7,181614,Port Harcourt,Grace,Yes,POS,1271298,2024-03-09
2024-07-01,8261,Solar Panel 500W,Repair,9,48243,Port Harcourt,John,No,Online Gateway,434187,
2024-02-10,6298,Accessories,Maintenance,3,137192,Abuja,John,Yes,Cash,411576,2024-02-22
2024-02-08,8017,Charge Controller,Repair,3,157003,Kano,Ada,No,Online Gateway,471009,
2024-07-10,8771,Inverter 3.5kVA,Repair,4,35967,Ibadan,Grace,No,Cash,143868,
2024-09-23,9567,Solar Panel 300W,Site Inspection,7,209347,Abuja,Grace,Yes,Cash,1465429,2024-10-02
2024-05-26,9915,Solar Panel 300W,Product Purchase,6,254393,Abuja,Ada,Yes,POS,1526358,2024-06-02
2024-11-28,2913,Inverter 3.5kVA,Installation,5,208608,Enugu,Grace,No,POS,1043040,
2024-05-06,5297,Charge Controller,Maintenance,4,72040,Lagos,Stella,Yes,Transfer,288160,2024-05-08
2024-02-15,2942,Solar Panel 300W,Installation,8,387396,Abuja,Michael,Yes,Online Gateway,3099168,2024-02-26
2024-02-14,5004,Charge Controller,Maintenance,4,20023,Kano,Ada,No,Online Gateway,80092,
2024-01-01,2331,Battery 200Ah,Maintenance,3,241308,Kano,Grace,Yes,POS,723924,2024-01-07
2024-06-16,8890,Inverter 3.5kVA,Product Purchase,7,381029,Kano,Stella,No,POS,2667203,
2024-04-17,5588,Battery 200Ah,Maintenance,2,234352,Ibadan,Tunde,No,Online Gateway,468704,
2024-01-19,1337,Solar Panel 300W,Maintenance,4,126829,Ibadan,Ada,No,Online Gateway,507316,
2024-11-27,8066,Charge Controller,Product Purchase,8,388694,Port Harcourt,Michael,No,Cash,3109552,
2024-03-12,8813,Battery 200Ah,Repair,4,98268,Abuja,Tunde,No,Cash,393072,
2024-04-18,9983,Solar Panel 300W,Installation,7,377805,Enugu,Tunde,No,POS,2644635,
2024-09-24,4611,Solar Panel 500W,Maintenance,2,221885,Kano,Tunde,Yes,Online Gateway,443770,2024-10-06
2024-08-27,4700,Battery 200Ah,Product Purchase,5,282144,Abuja,Tunde,Yes,Cash,1410720,2024-09-03
2024-10-27,7118,Solar Panel 500W,Maintenance,4,44756,Port Harcourt,John,No,Cash,179024,
2024-03-30,8105,Solar Panel 500W,Product Purchase,9,52982,Port Harcourt,Michael,Yes,Online Gateway,476838,2024-04-01
2024-04-12,3673,Accessories,Installation,7,275328,Kano,Stella,Yes,Online Gateway,1927296,2024-04-14
2024-09-06,3122,Solar Panel 300W,Site Inspection,9,159931,Abuja,Ada,No,POS,1439379,
2024-01-08,8082,Inverter 3.5kVA,Repair,7,68760,Port Harcourt,Stella,No,Online Gateway,481320,
2024-06-01,9250,Charge Controller,Site Inspection,2,26734,Lagos,John,No,POS,53468,
2024-12-12,3062,Solar Panel 300W,Product Purchase,2,275310,Ibadan,Tunde,Yes,Cash,550620,2024-12-21
2024-06-22,2254,Accessories,Maintenance,2,230438,Abuja,Grace,Yes,Transfer,460876,2024-07-03
2024-12-08,4688,Accessories,Repair,5,405701,Kano,Ada,Yes,Transfer,2028505,2024-12-11
2024-06-06,4748,Battery 200Ah,Installation,1,352472,Port Harcourt,Michael,No,Online Gateway,352472,
2024-08-02,7342,Charge Controller,Repair,7,99997,Port Harcourt,Ada,Yes,POS,699979,2024-08-16
2024-06-25,5130,Accessories,Maintenance,2,102975,Port Harcourt,Ada,No,Transfer,205950,
2024-06-23,5257,Inverter 3.5kVA,Site Inspection,4,210664,Ibadan,Stella,No,Cash,842656,
2024-12-05,4029,Solar Panel 300W,Product Purchase,9,25428,Abuja,Grace,Yes,Cash,228852,2024-12-11
2024-12-03,3846,Inverter 3.5kVA,Site Inspection,8,188718,Port Harcourt,Tunde,Yes,POS,1509744,2024-12-07
2024-05-25,9662,Battery 200Ah,Repair,2,36139,Enugu,Michael,Yes,Transfer,72278,2024-06-05
2024-11-19,5035,Solar Panel 300W,Maintenance,4,223923,Ibadan,Ada,No,Cash,895692,
2024-06-09,3899,Battery 200Ah,Product Purchase,4,442773,Lagos,John,Yes,Cash,1771092,2024-06-19
2024-05-06,5443,Charge Controller,Maintenance,2,43976,Abuja,John,No,Online Gateway,87952,
2024-03-22,5789,Charge Controller,Maintenance,2,290155,Kano,Grace,Yes,Transfer,580310,2024-03-26
2024-05-26,1912,Inverter 3.5kVA,Repair,5,288687,Abuja,Tunde,Yes,Online Gateway,1443435,2024-05-30
2024-08-26,5242,Inverter 3.5kVA,Site Inspection,4,137636,Port Harcourt,Grace,Yes,Cash,550544,2024-09-07
2024-03-24,8541,Charge Controller,Maintenance,8,325286,Kano,Ada,No,Cash,2602288,
2024-04-22,2711,Solar Panel 500W,Maintenance,4,398574,Enugu,Tunde,Yes,Transfer,1594296,2024-04-27
2024-08-12,9866,Charge Controller,Maintenance,8,44563,Abuja,Ada,Yes,Transfer,356504,2024-08-26
2024-11-27,2439,Solar Panel 300W,Product Purchase,5,131958,Kano,Michael,No,POS,659790,
2024-08-30,6613,Battery 200Ah,Maintenance,1,244188,Abuja,John,Yes,Transfer,244188,2024-09-08
2024-05-22,4630,Charge Controller,Maintenance,9,157938,Enugu,Grace,No,POS,1421442,
2024-02-10,6375,Charge Controller,Repair,8,221827,Lagos,Stella,Yes,Online Gateway,1774616,2024-02-11
2024-09-14,8103,Accessories,Maintenance,1,56787,Lagos,Grace,No,Transfer,56787,
2024-10-11,9877,Battery 200Ah,Maintenance,3,275361,Lagos,Tunde,Yes,Online Gateway,826083,2024-10-18
2024-04-14,5216,Accessories,Repair,3,416202,Abuja,Michael,Yes,Online Gateway,1248606,2024-04-15
2024-07-20,3466,Battery 200Ah,Product Purchase,5,417751,Kano,John,Yes,POS,2088755,2024-07-31
2024-11-02,8824,Solar Panel 300W,Site Inspection,7,316308,Lagos,Michael,Yes,Cash,2214156,2024-11-15
2024-11-26,5124,Battery 200Ah,Repair,1,265054,Ibadan,Grace,Yes,POS,265054,2024-12-01
2024-09-22,1965,Inverter 3.5kVA,Product Purchase,1,34511,Ibadan,Grace,No,POS,34511,
2024-07-28,7928,Charge Controller,Site Inspection,6,235063,Lagos,Stella,No,Online Gateway,1410378,
2024-02-20,7096,Battery 200Ah,Maintenance,5,327757,Lagos,Ada,No,Cash,1638785,
2024-04-27,7157,Solar Panel 300W,Repair,3,262534,Port Harcourt,Ada,No,Transfer,787602,
2024-07-19,9120,Battery 200Ah,Maintenance,3,53344,Ibadan,Michael,Yes,Transfer,160032,2024-07-27
2024-02-08,2508,Charge Controller,Repair,4,159860,Ibadan,Michael,Yes,Online Gateway,639440,2024-02-09
2024-01-28,1871,Solar Panel 500W,Site Inspection,2,57330,Lagos,Tunde,Yes,POS,114660,2024-02-03
2024-09-15,1863,Battery 200Ah,Product Purchase,9,318589,Enugu,Michael,Yes,Transfer,2867301,2024-09-16
2024-03-24,4055,Inverter 3.5kVA,Repair,4,366060,Port Harcourt,Ada,No,POS,1464240,
2024-06-03,6133,Charge Controller,Product Purchase,3,441346,Kano,Grace,No,Cash,1324038,
2024-04-26,3682,Solar Panel 300W,Maintenance,7,23133,Port Harcourt,Michael,No,Transfer,161931,
2024-01-02,6278,Charge Controller,Maintenance,9,412017,Port Harcourt,John,Yes,Transfer,3708153,2024-01-03
2024-04-02,6448,Accessories,Site Inspection,2,80747,Ibadan,John,Yes,Transfer,161494,2024-04-07
2024-06-14,1613,Solar Panel 500W,Site Inspection,6,347476,Lagos,Ada,No,Online Gateway,2084856,
2024-12-15,2872,Solar Panel 300W,Installation,5,186854,Lagos,Michael,No,Cash,934270,
2024-10-22,8723,Solar Panel 500W,Installation,1,300548,Lagos,Grace,Yes,POS,300548,2024-11-05
